keys,en,pt,it,zh,ko,ja,sh,gm,fr,pl,tu
TUTORIAL_5_TITLE,Card Rewards,Carta Recompensa,Ricompense per carte,卡牌奖励,카드 보상,カードの報酬,Recompensas de Cartas,Kartenbelohnungen,Récompenses de Carte,Nagrody za Karty,Kart Ödülleri
TUTORIAL_5_DESCRIPTION,Every 3 turns you will get to choose between 3 different cards to add to your deck\n\nMost cards have unique effects that you got to keep in mind when playing them,A cada 3 turnos você pode escolher entre 3 cartas diferentes para adicionar ao seu baralho\n\nTodas as cartas possuem um efeito único e você deve mantê-los em mente durante o jogo,Ogni 3 turni avrai la possibilità di scegliere tra 3 carte diverse da aggiungere al tuo mazzo\n La maggior parte delle carte ha effetti unici da tenere a mente quando le giochi,每3轮，你可以选择3张不同的卡片之一加入你的卡组\n\n大多数卡片都有独特的效果，玩牌时需要记住它们的效果,매 3턴마다 덱에 추가할 3개의 다른 카드를 선택할 수 있습니다\n\n대부분의 카드는 플레이할 때 고려해야 할 독특한 효과를 가지고 있습니다,3ターンごとに、デッキに追加する3つの異なるカードの中から1つを選ぶことができます\n ほとんどのカードには、プレイするときに考慮する必要があるユニークな効果があります。,Cada 3 turnos podrás elegir entre 3 cartas diferentes para agregar a tu mazo\n La mayoría de las cartas tienen efectos únicos que debes tener en cuenta al jugarlas,"Alle 3 Runden können Sie zwischen 3 verschiedenen Karten wählen, um sie Ihrem Deck hinzuzufügen\n Die meisten Karten haben einzigartige Effekte, die Sie beim Spielen beachten sollten","Tous les 3 tours, vous aurez le choix entre 3 cartes différentes à ajouter à votre deck\n\n La plupart des cartes ont des effets uniques à garder à l'esprit lorsque vous les jouez","Co 3 tury dostaniesz do wyboru 3 różne karty do dodania do swojej talii\n\nWiększość kart ma unikalne efekty, które musisz mieć na uwadze grając nimi","Her 3 turda bir, destenize eklemek için 3 farklı kart seçme hakkınız olacak\n\nÇoğu kartın oynanırken aklınızda tutmanız gereken benzersiz etkileri vardır"
TUTORIAL_6_TITLE,Essence Rewards,Essência Recompensa,Ricompense di essenza,精华奖励,본질 보상,エッセンスの報酬,Recompensas de Esencia,Essenzbelohnungen,Récompenses d'Essence,Nagrody za Esencje,Öz Esans Ödülleri
TUTORIAL_6_DESCRIPTION,"Every 20 turns you will get to choose between 3 unique buffs, choose wisely - they can completely change the way you play the game!","A cada 20 turnos você pode escolher entre 3 melhorias únicas para sua fazenda. Faça uma escolha sábia, pois podem mudar completamente a forma em que você joga","Ogni 20 turni avrai la possibilità di scegliere tra 3 potenziamenti unici, scegli con saggezza - possono cambiare completamente il modo in cui giochi!",每20轮，你可以选择3种独特的增益之一，选择得当 - 它们可以完全改变你玩游戏的方式!,매 20턴마다 선택할 3가지 독특한 버프를 얻을 수 있습니다. 현명하게 선택하세요 - 게임 플레이 방식을 완전히 변경할 수 있습니다!,20ターンごとに、3つのユニークなバフの中から1つを選ぶことができます、賢く選んでください - それはゲームの遊び方を完全に変えることができます！,"Cada 20 turnos podrás elegir entre 3 mejoras únicas, ¡elige sabiamente! - pueden cambiar completamente la forma en que juegas el juego","Alle 20 Runden können Sie zwischen 3 einzigartigen Buffs wählen, wählen Sie weise - sie können die Art und Weise, wie Sie spielen, komplett ändern!","Tous les 20 tours, vous aurez le choix entre 3 améliorations uniques, choisissez judicieusement - elles peuvent complètement changer votre façon de jouer !","Co 20 tur dostaniesz do wyboru 3 unikalne bufory, wybieraj mądrze - mogą one całkowicie zmienić sposób, w jaki grasz!","Her 20 turda bir, oyunu oynama şeklinizi tamamen değiştirebilecek benzersiz 3 güçlendirme arasından seçme hakkınız olacak!"
TUTORIAL_7_TITLE,Taxes,Impostos,Tasse,税收,세금,税金,Impuestos,Steuern,Taxes,Podatki,Vergiler
TUTORIAL_7_DESCRIPTION,Fees will be charged every 10 turns and will double every time starting in: 50{GOLD},"Dê a César o que é de César! Impostos são cobrados a cada 10 turnos e seu valor será dobrado a cada taxação, iniciando em: 50{GOLD}","Le tariffe verranno addebitate ogni 10 turni e raddoppieranno ogni volta, iniziando da: 50{GOLD}",每10轮会收费，从50{GOLD}开始每次翻倍,"10턴마다 요금이 부과되며, 50{GOLD}부터 시작하여 매번 두 배로 증가합니다",10ターンごとに手数料が請求され、50{GOLD}から始まって毎回倍になります。,"Se cobrarán tarifas cada 10 turnos y se duplicarán cada vez, comenzando en: 50{GOLD}","Gebühren werden alle 10 Runden erhoben und verdoppeln sich jedes Mal, beginnend bei: 50{GOLD}","Des frais seront facturés tous les 10 tours et doubleront à chaque fois, commençant à : 50 {GOLD}","Opłaty będą naliczane co 10 tur i będą podwajane za każdym razem, zaczynając od: 50{GOLD}","Her 10 turda bir ücret alınacak ve her seferinde iki kat artacak, başlangıçta: 50{GOLD}"
TUTORIAL_8_TITLE,Money!,Dinheiro!,Denaro!,钱!,돈!,お金！,¡Dinero!,Geld!,Argent !,Pieniądze!,Para!
TUTORIAL_8_DESCRIPTION,"Your goal is to make as much {GOLD} as possible so you can pay all your debt.\n\nYou can move the camera with WASD or by touching the screen boundaries. [C] to center!\n\nGood luck, farmer!","Seu objetivo é fazer a maior quantidade de {GOLD} possível para pagar todas as suas dívidas.\n\nVocê pode mover sua câmera com as teclas WASD ou tocando as bordas da tela. [C] para centralizar!\n\nBoa sorte, fazendeiro!","Il tuo obiettivo è guadagnare quanto più {GOLD} possibile per poter pagare tutti i tuoi debiti.\n Puoi muovere la telecamera con WASD o toccando i bordi dello schermo. [C] per centrare!\n Buona fortuna, agricoltore!",你的目标是尽可能多地赚取{GOLD}，以便偿还所有债务。\n\n你可以使用WASD移动摄像头或触摸屏幕边界。[C]重新定位!\n\n祝你好运，农民!,"당신의 목표는 가능한 많은 {GOLD}를 벌어 모든 빚을 상환하는 것입니다.\n\nWASD 또는 화면 경계를 터치하여 카메라를 움직일 수 있습니다. [C]로 중앙으로 이동!\n\n행운을 빕니다, 농부님!",あなたの目標は、すべての債務を支払うためにできるだけ多くの{GOLD}を作ることです。\n カメラはWASDまたは画面の境界に触れて移動することができます。 [C]でセンタリングできます！\n 農家の皆さん、頑張ってください！,"Tu objetivo es ganar tanto {GOLD} como sea posible para poder pagar toda tu deuda.\n Puedes mover la cámara con WASD o tocando los límites de la pantalla. [C] para centrar\n ¡Buena suerte, granjero!","Ihr Ziel ist es, so viel {GOLD} wie möglich zu verdienen, um all Ihre Schulden zu bezahlen.\n Sie können die Kamera mit WASD bewegen oder die Bildschirmränder berühren. [C] zum Zentrieren!\n Viel Glück, Bauer!","Votre objectif est de gagner autant d'{GOLD} que possible pour pouvoir rembourser toute votre dette.\n\n Vous pouvez déplacer la caméra avec ZQSD ou en touchant les bords de l'écran. [C] pour centrer!\n\n Bonne chance, fermier !","Twoim celem jest zdobycie jak najwięcej {GOLD}, abyś mógł spłacić cały swój dług.\n\nMożesz przesuwać kamerę za pomocą WASD lub dotykając granice ekranu. [C] aby wyśrodkować!\n\nPowodzenia, rolniku!","Amacınız mümkün olan en çok {GOLD} kazanarak tüm borçlarınızı ödeyebilmektir.\n\nKamerayı WASD ile veya ekran sınırlarına dokunarak hareket ettirebilirsiniz. [C] tuşuyla merkeze dönebilirsiniz!\n\nİyi şanslar, çiftçi!"
COST,Cost,Custo,Costo,成本,비용,コスト,Costo,Kosten,Coût,Koszt,Maliyet
REPAIR,Repair,Reparo,Riparazione,维修,수리,修理,Reparar,Reparieren,Réparation,Naprawa,Onarım
GIVES,Gives,Produz,Dà,提供,주다,与える,Da,Gibt,Donne,Daje,Verir
GROWS,Grows,Cresce em,Cresce,生长,성장하다,成長する,Crece,Wächst,Pousse,Rośnie,Büyür
OCCUPIES,Occupies,Ocupa,Occupato da,占据,차지하다,占める,Ocupa,Belegt,Occupe,Zajmuje,Kaplar
SLOT,Slot,Espaço,Slot,槽位,슬롯,スロット,Ranura,Slot,Emplacement,Slot,Yuva
SLOT_PLURAL,Slots,Espaços,Fessure,槽位,슬롯들,スロット,Ranuras,Slots,Emplacements,Sloty,Yuvaklar
FOODS,Foods,Alimento,Cibi,食品,식품들,食べ物,Comidas,Nahrung,Nourritures,Jedzenie,Yiyecekler
MARKET,Market,Mercado,Mercato,市场,시장,市場,Mercado,Markt,Marché,Rynek,Pazar
AUTO,Auto,Auto,Auto,自动,자동,オート,Automático,Auto,Auto,Auto,Oto
DISCOVER_TITLE,Discover,Descobrir,Scoprire,发现,발견하다,発見,Descubre,Entdecken,Découvrir,Odkryj,Keşfet
DISCOVER_DESCRIPTION,"Search for plants, animals, structures and items","Pesquise por plantas, animais, estruturas e itens","Cerca piante, animali, strutture e oggetti",搜索植物、动物、结构和物品,"식물, 동물, 구조물 및 아이템을 검색하십시오",植物、動物、構造物、アイテムを検索する,"Busca plantas, animales, estructuras e ítems","Suchen Sie nach Pflanzen, Tieren, Strukturen und Gegenständen","Cherchez des plantes, des animaux, des structures et des objets","Szukaj roślin, zwierząt, struktur i przedmiotów","Bitkileri, hayvanları, yapıları ve nesneleri ara"
DECK_TITLE,Deck,Baralho,Mazzo,卡组,덱,デッキ,Mazo,Deck,Deck,Talia,Deste
DISCOVER_SEARCH_BAR,Search,Pesquisar,Cerca,搜索,검색,検索,Buscar,Suche,Chercher,Szukaj,Ara
CRAFTING,Crafting,Fabricação,Creazione,制作,제작,クラフト,Creación,Handwerk,Artisanat,Rzemiosło,El İşçiliği
CHOOSE,Choose,Escolher,Scegli,选择,선택하다,選ぶ,Elige,Wählen,Choisir,Wybierz,Seç
COMBOS,Uses:,Usa: ,Usa,使用:,사용하다:,使う:,Usa:,Verwendet:,Utilise :,Używa:,Kullanır:
PRODUCTION,Production,Produção,Produzione,生产,생산,生産,Producción,Produktion,Production,Produkcja,Üretim
WATER,Water,Água,Acqua,水,물,水,Agua,Wasser,Eau,Woda,Su
ENERGY,Energy,Energia,Energia,能量,에너지,エネルギー,Energía,Energie,Énergie,Energia,Enerji
FUEL,Fuel,Petróleo,Carburante,燃料,연료,燃料,Combustible,Treibstoff,Carburant,Paliwo,Yakıt
GOLD,Gold,Ouro,Oro,金币,금,ゴールド,Oro,Gold,Or,Złoto,Altın
PLANT,Crop,Planta,Coltura,农作物,농작물,作物,Cultivo,Ernte,Récolte,Uprawa,Ürün
PLANTS,Crops,Plantas,Colture,农作物们,농작물들,作物群,Cultivos,Ernten,Récoltes,Plony,Ürünler
ANIMAL,Animal,Animal,Animale,动物,동물,動物,Animal,Tier,Animal,Zwierzę,Hayvan
ANIMALS,Animals,Animais,Animali,动物们,동물들,動物群,Animales,Tiere,Animaux,Zwierzęta,Hayvanlar
STRUCTURE,Structure,Estrutura,Struttura,结构,구조,構造,Estructura,Struktur,Structure,Struktura,Yapı
STRUCTURES,Structures,Estruturas,Strutture,结构们,구조물들,構造物群,Estructuras,Strukturen,Structures,Struktury,Yapılar
PLAY,Play,Jogar,Gioca,玩,플레이,プレイ,Jugar,Spielen,Jouer,Graj,Oyna
EXIT,Save and Exit,Salvar e Sair,Esci e Salva,退出并保存,종료 및 저장,終了して保存,Salir y Guardar,Beenden und Speichern,Quitter et enregistrer,Zakończ i wyjdź,Çıkış ve Kaydet
VERSION,Version,Versão,Versione,版本,버전,バージョン,Versión,Version,Version,Wersja,Sürüm
OPTIONS,Options,Opções,Opzioni,选项,옵션,オプション,Opciones,Optionen,Options,Opcje,Ayarlar
OPTIONS_GENERAL,General,Geral,Generale,通用,일반,一般,General,Allgemein,Général,Ogólne,Genel
OPTIONS_AUDIO,Audio,Áudio,Audio,音频,오디오,オーディオ,Audio,Audio,Audio,Audio,Ses
OPTIONS_MASTER_VOLUME,Master Volume,Volume Geral,Volume principale,主音量,마스터 볼륨,マスターボリューム,Volumen Maestro,Hauptlautstärke,Volume Général,Głośność Główna,Ana Ses
OPTIONS_MUSIC_VOLUME,Music Volume,Volume Música,Volume della musica,音乐音量,음악 볼륨,音楽ボリューム,Volumen de Música,Musiklautstärke,Volume de la Musique,Głośność Muzyki,Müzik Ses
OPTIONS_EFFECTS_VOLUME,Sound Volume,Volume Efeitos,Volume degli effetti,声音音量,소리 볼륨,サウンドボリューム,Volumen de Sonido,Klanglautstärke,Volume des Sons,Głośność Dźwięku,Efekt Ses
OPTIONS_FULLSCREEN,Fullscreen,Tela Cheia,Schermo intero,全屏,전체 화면,フルスクリーン,Pantalla Completa,Vollbild,Plein écran,Pełny Ekran,Tam Ekran
OPTIONS_LANGUAGE,Language,Idioma,Lingua,语言,언어,言語,Idioma,Sprache,Langue,Język,Dil
OPTIONS_RESOLUTION,Resolution,Resolução,Risoluzione,分辨率,해상도,解像度,Resolución,Auflösung,Résolution,Rozdzielczość,Çözünürlük
OPTIONS_NERD_MODE,Nerd Mode,Modo Nerd,Modalità Nerd,极客模式,누드 모드,ナードモード,Modo Nerd,Nerd Modus,Mode Geek,Tryb Nerdów,Nerd Modu
GROUP_COWS,Cows,Vacas,Mucche,牛,소들,牛,Vacas,Kühe,Vaches,Krowy,İnekler
GROUP_WHEATS,Wheats,Trigos,Frumento,小麦,밀,小麦,Trigos,Weizen,Blés,Pszenica,Buğdaylar
GROUP_CRABS,Crabs,Caranguejos,Granchi,螃蟹,게들,カニ,Cangrejos,Krabben,Crabes,Korale,Yengeçler
GROUP_CORNS,Corns,Milhos,Mais,玉米,옥수수,とうもろこし,Maíces,Mais,Maïs,Kukurydza,Mısırlar
GROUP_SHEEPS,Sheeps,Ovelhas,Pecore,绵羊,양들,羊,Ovejas,Schafe,Moutons,Owce,Koyunlar
GROUP_WOOLS,Wools,Lãs,Lana,羊毛,양털들,ウール,Lanas,Wolle,Laines,Wełna,Yünler
GROUP_WOLVES,Wolves,Lobos,Lupi,狼,늑대,狼,Manada de Lobos,Wölfe,Loups,Wilki,Kurtlar
GAME_OVER,GAME OVER,FIM DE JOGO,FINE GIOCO,游戏结束,게임 오버,ゲームオーバー,FIN DEL JUEGO,SPIEL VORBEI,JEU TERMINÉ,KONIEC GRY,OYUN BİTTİ
PAUSED,PAUSED,PAUSADO,IN PAUSA,暂停,일시 정지,一時停止,PAUSADO,PAUSE,EN PAUSE,POZIOM PRZERWANY,DURDU
RESTART,Restart,Reiniciar,Riavvia,重新开始,재시작,再開始,Reiniciar,Neustart,Redémarrer,Zrestartuj,Yeniden Başlat
RESUME,Resume,Resumir,Riprendi,恢复,계속,再開,Continuar,Fortsetzen,Reprendre,Wznów,Devam Et
BACK_TO_MENU,Back to Menu,Voltar ao Menu,Torna al menu,返回主菜单,메뉴로 돌아가기,メニューに戻る,Volver al Menú,Zurück zum Menü,Retour au Menu,Powrót do Menu,Menüye Dön
TIME_PLAYED,Play Time:,Tempo:,Tempo di gioco:,游戏时间:,플레이 시간:,プレイ時間:,Tiempo de Juego:,Spielzeit:,Temps de Jeu :,Czas Gry:,Oynama Süresi:
TAXES_PAYED,Taxes:,Impostos:,Tasse:,税:,세금:,税金:,Impuestos:,Steuern:,Taxes :,Podatki:,Vergiler:
CARD_REWARD_TITLE,Card Reward,Carta Recompensa,Ricompensa per carte,卡片奖励,카드 보상,カードの報酬,Recompensa de Carta,Kartenbelohnung,Récompense de Carte,Nagroda za Kartę,Kart Ödülü
ESSENCE_REWARD_TITLE,Essence Reward,Essência Recompensa,Ricompensa di essenza,精华奖励,에센스 보상,エッセンスの報酬,Recompensa de Esencia,Essenzbelohnung,Récompense d'Essence,Nagroda za Eseńcję,Esans Ödülü
ESSENCE_REWARD_SKIP,Skip,Pular,Salta,跳过,건너뛰기,スキップ,Saltar,Überspringen,Passer,Pomiń,Atla
DEMO_WISHLIST_BUTTON,Wishlist on Steam,Seguir na Steam,Lista desideri su Steam,Steam愿望清单,스팀에서 위시리스트에 추가,Steamでのウィッシュリストに追加,Añadir a la lista de deseos en Steam,Wunschliste auf Steam,Ajouter à la liste de souhaits sur Steam,Dodaj do Listy Życzeń na Steamie,Steam'de İstek Listesine Ekle
DEMO_THANKS,Thanks for Playing!,Obrigado por Jogar!,Grazie per aver giocato!,感谢您玩!,플레이 해 주셔서 감사합니다!,プレイしてくれてありがとう！,¡Gracias por jugar!,Danke fürs Spielen!,Merci d'avoir joué!,Dziękujemy za Grę!,Teşekkürler Oyundun!
DEMO_TEXT,You finished this demo. We're still working on the complete version of Terracards.\n\nDo not forget to add this game to your wishlist so you will receive an e-mail when the full game launches.,Este é o fim da demonstração. Ainda estamos trabalhando na versão completa de Terracards.\n\nNão esqueça de adicionar o jogo a lista de desejos para receber um e-mail no lançamento.,Hai finito questa demo. Stiamo ancora lavorando sulla versione completa di Terracards.\n Non dimenticare di aggiungere questo gioco alla tua lista dei desideri così riceverai un'e-mail quando verrà lanciata la versione completa.,您已完成此演示版。我们仍在开发Terracards的完整版本。\n\n不要忘记将此游戏添加到您的愿望清单，以便在完整游戏发布时收到电子邮件通知。,이 데모를 완료했습니다. Terracards의 완전한 버전을 아직 작업 중입니다.\n\n게임이 출시될 때 이메일을 받으려면 위시리스트에 이 게임을 추가해주세요.,このデモを終了しました。Terracardsの完全版の作成中です。\n 忘れずにこのゲームをウィッシュリストに追加して、フルゲームのローンチ時にEメールが届くようにしてください。,Terminaste esta demostración. Todavía estamos trabajando en la versión completa de Terracards.\n No olvides agregar este juego a tu lista de deseos para recibir un correo electrónico cuando se lance la versión completa,"Sie haben diese Demo beendet. Wir arbeiten noch an der Vollversion von Terracards.\n Vergessen Sie nicht, dieses Spiel zu Ihrer Wunschliste hinzuzufügen, damit Sie eine E-Mail erhalten, wenn das vollständige Spiel startet.",Vous avez terminé cette démo. Nous travaillons toujours sur la version complète de Terracards.\n\n N'oubliez pas d'ajouter ce jeu à votre liste de souhaits pour recevoir un e-mail lorsque le jeu complet sera sorti.,"Ukończyłeś tę wersję demonstracyjną. Nadal pracujemy nad pełną wersją Terracards.\n\nNie zapomnij dodać tej gry do listy życzeń, aby otrzymać e-mail, gdy pełna wersja zostanie wydana.",Bu demoyu tamamladınız. Terracards'ın tam sürümü üzerinde hâlâ çalışıyoruz.\n\nTam oyun çıktığında bir e-posta almak için bu oyunu istek listenize eklemeyi unutmayın.
TURN,Day,Dia,Giorno,日子,날짜,日,Día,Tag,Jour,Dzień,Gün
REROLL,Reroll,Rolar,Rilancia,重摇,다시 굴리기,やり直す,Volver a elegir,Neuauswahl,Relancer,Przetasuj,Yeniden Oyna
TAXES_DAY,Pay [img=b]res://assets/images/icons/trimmed_coin.png[/img][color=#fee761][outline_color=#3e2731]{PRICE}[/outline_color][/color] in [color=#fee761][outline_color=#3e2731]{DAYS}[/outline_color][/color] days,Pague [img=b]res://assets/images/icons/trimmed_coin.png[/img][color=#fee761][outline_color=#3e2731]{PRICE}[/outline_color][/color] em [color=#fee761][outline_color=#3e2731]{DAYS}[/outline_color][/color] dias,Paga [img=b]res://assets/images/icons/trimmed_coin.png[/img][color=#fee761][outline_color=#3e2731]{PRICE}[/outline_color][/color] in [color=#fee761][outline_color=#3e2731]{DAYS}[/outline_color][/color] giorni,支付 [img]res://assets/images/icons/trimmed_coin.png[/img][color=#fee761][outline_color=#3e2731]{PRICE}[/outline_color][/color] 在 [color=#fee761][outline_color=#3e2731]{DAYS}[/outline_color][/color] 天内,[img]res://assets/images/icons/trimmed_coin.png[/img][color=#fee761][outline_color=#3e2731]{PRICE}[/outline_color][/color]를 [color=#fee761][outline_color=#3e2731]{DAYS}[/outline_color][/color]일 이내에 지불하세요,[img]res://assets/images/icons/trimmed_coin.png[/img][color=#fee761][outline_color=#3e2731]{PRICE}[/outline_color][/color]を [color=#fee761][outline_color=#3e2731]{DAYS}[/outline_color][/color]日以内に支払う,Paga [img=b]res://assets/images/icons/trimmed_coin.png[/img][color=#fee761][outline_color=#3e2731]{PRICE}[/outline_color][/color] en [color=#fee761][outline_color=#3e2731]{DAYS}[/outline_color][/color] días,Zahle [img=b]res://assets/images/icons/trimmed_coin.png[/img][color=#fee761][outline_color=#3e2731]{PRICE}[/outline_color][/color] in [color=#fee761][outline_color=#3e2731]{DAYS}[/outline_color][/color] Tagen,Payez [img=b]res://assets/images/icons/trimmed_coin.png[/img][color=#fee761][outline_color=#3e2731]{PRICE}[/outline_color][/color] dans [color=#fee761][outline_color=#3e2731]{DAYS}[/outline_color][/color] jours,Zapłać [img]res://assets/images/icons/trimmed_coin.png[/img][color=#fee761][outline_color=#3e2731]{PRICE}[/outline_color][/color] w ciągu [color=#fee761][outline_color=#3e2731]{DAYS}[/outline_color][/color] dni,Öde [img]res://assets/images/icons/trimmed_coin.png[/img][color=#fee761][outline_color=#3e2731]{PRICE}[/outline_color][/color] içinde [color=#fee761][outline_color=#3e2731]{DAYS}[/outline_color][/color] gün
TAXES_BUTTON,Pay,Pagar,Paga,支付,지불하다,支払う,Pagar,Zahle,Payer,Zapłać,Öde
TAXES_MESSAGE,Hello! What a great day to charge taxes.\n\nYour month debt is:,Olá! Hoje é um ótimo dia para cobrar impostos.\n\nSeus impostos do mês são:,Ciao! Che bella giornata per addebitare le tasse.\n Il tuo debito mensile è:,你好! 今天真是一个很好的收税日。\n\n你这个月的债务是:,안녕하세요! 세금을 부과하기 좋은 날이네요.\n\n당신의 월별 부채는:,こんにちは！税金を徴収するのに良い日です。\n あなたの月の債務は:,¡Hola! Qué gran día para cobrar impuestos.\n Tu deuda mensual es:,"Hallo! Was für ein großartiger Tag, um Steuern zu erheben.\n Deine Monatsschuld beträgt:",Bonjour! Quelle belle journée pour percevoir des taxes.\n\n Votre dette mensuelle est de :,"Witaj! To wspaniały dzień, aby pobrać podatki.\n\nTwój dług miesięczny to:",Merhaba! Vergi almaya harika bir gün.\n\nAylık borcunuz: 
CARD_REWARD_DESCRIPTION,Insert a new card into your deck,Escolha uma carta para a sua mão,Inserisci una nuova carta nel tuo mazzo,将新卡插入您的卡组,덱에 새 카드 삽입,デッキに新しいカードを挿入する,Inserta una nueva carta en tu mazo,Füge eine neue Karte zu deinem Deck hinzu,Insérez une nouvelle carte dans votre deck,Włóż nową kartę do swojego talonu,Destenize yeni bir kart ekleyin
ESSENCE_REWARD_DESCRIPTION,Choose a new passive to your farm,Escolha uma nova passiva para sua fazenda,Scegli un nuovo potenziamento per la tua fattoria,为您的农场选择新的被动技能,농장에 새로운 패시브 선택,農場に新しいパッシブを選ぶ,Elige un nuevo pasivo para tu granja,Wähle ein neues Passiv für deine Farm,Choisissez un nouveau passif pour votre ferme,Wybierz nowy pasywny efekt dla swojej farmy,Çiftliğinize yeni bir pasif ekleyin
CRAB,Crab,Caranguejo,Granchio,螃蟹,게,カニ,Cangrejo,Krabbe,Crabe,Krab,Yengeç
CRAB_DESCRIPTION,+2 {PRODUCTION} per {ANIMAL_CRAB} on same island\nEats every {ITEM_EGG} produced on adjacent islands\n+1{PRODUCTION} per {ITEM_EGG} produced in adjacent islands,+2 {PRODUCTION} por {ANIMAL_CRAB} na mesma ilha\nCome todos os {ITEM_EGG} produzidos em ilhas adjacentes\n+1 de {PRODUCTION} por {ITEM_EGG} produzido em ilhas adjacentes,+2 {PRODUCTION} per {ANIMAL_CRAB} sulla stessa isola\nMangia ogni {ITEM_EGG} prodotto sulle isole adiacenti\n+1{PRODUCTION} per ogni {ITEM_EGG} prodotto nelle isole adiacenti,每个同岛上的{ANIMAL_CRAB}增加2 {PRODUCTION}\n吃掉相邻岛屿上产的每个{ITEM_EGG}\n相邻岛屿上每产出一个{ITEM_EGG}增加1 {PRODUCTION},같은 섬의 {ANIMAL_CRAB}당 +2 {PRODUCTION}\n인접한 섬에서 생산된 모든 {ITEM_EGG}를 먹음\n인접한 섬에서 생산된 {ITEM_EGG} 당 +1 {PRODUCTION},同じ島の{ANIMAL_CRAB}ごとに+2 {PRODUCTION}\n隣接する島で生産された{ITEM_EGG}をすべて食べる\n隣接する島で生産された{ITEM_EGG}ごとに+1 {PRODUCTION},+2 {PRODUCTION} por {ANIMAL_CRAB} en la misma isla\nConsume todos los {ITEM_EGG} producidos en islas adyacentes\n+1 {PRODUCTION} por cada {ITEM_EGG} producido en islas adyacentes,+2 {PRODUCTION} pro {ANIMAL_CRAB} auf derselben Insel\nIsst jedes auf benachbarten Inseln produzierte {ITEM_EGG}\n+1{PRODUCTION} pro auf benachbarten Inseln produziertes {ITEM_EGG},+2 {PRODUCTION} par {ANIMAL_CRAB} sur la même île\n Mange chaque {ITEM_EGG} produit sur les îles adjacentes\n +1{PRODUCTION} par {ITEM_EGG} mangé,+2 {PRODUCTION} za każdego {ANIMAL_CRAB} na tej samej wyspie\nZjada każde {ITEM_EGG} wyprodukowane na sąsiednich wyspach\n+1 {PRODUCTION} za każde wyprodukowane na sąsiednich wyspach {ITEM_EGG},Aynı adadaki her {ANIMAL_CRAB} için +2 {PRODUCTION}\nBitişik adalarda üretilen her {ITEM_EGG} tüketilir\nBitişik adalarda üretilen her {ITEM_EGG} başına +1 {PRODUCTION}
CRAB_LEG,Crab Leg,Perna de Caranguejo,Gamba di granchio,螃蟹腿,게 다리,カニの足,Pata de Cangrejo,Krabbenbein,Patte de Crabe,Noga Kraba,Yengeç Bacağı
KING_CRAB,King Crab,Caranguejo Real,Granchio reale,帝王蟹,왕게,キングカニ,Cangrejo Rey,Königskrabbe,Roi Crabe,Król Krabów,Kral Yengeç
KING_CRAB_DESCRIPTION,Doubles same island {GROUP_CRABS} {PRODUCTION},Dobra a {PRODUCTION} de {GROUP_CRABS} na mesma ilha,Raddoppia la {PRODUCTION} dei {GROUP_CRABS} sulla stessa isola,使同一岛屿的{GROUP_CRABS} {PRODUCTION}加倍,동일한 섬의 {GROUP_CRABS} {PRODUCTION}를 두 배로 합니다,同じ島の{GROUP_CRABS}の{PRODUCTION}を倍にする,Duplica la {PRODUCTION} de los {GROUP_CRABS} en la misma isla,Verdoppelt {GROUP_CRABS} {PRODUCTION} auf derselben Insel,Double la {PRODUCTION} des {GROUP_CRABS} sur la même île,Podwaja {GROUP_CRABS} na tej samej wyspie {PRODUCTION},Aynı adadaki {GROUP_CRABS} {PRODUCTION}'ı iki katına çıkarır.
KING_CRAB_LEG,King Crab Leg,Perna de Caranguejo Real,Gamba del granchio reale,帝王蟹腿,왕게 다리,キングカニの足,Pata de Cangrejo Rey,Königskrabbenbein,Pattes de Roi Crabe,Noga Króla Krabów,Kral Yengeç Bacağı
EMPEROR_CRAB,Emperor Crab,Caranguejo Imperador,Granchio imperatore,皇帝蟹,제국 게,エンペラーカニ,Cangrejo Emperador,Kaiserkrabbe,Empereur Crabe,Cesarz Kraba,İmparator Yengeç
EMPEROR_CRAB_DESCRIPTION,Eats half of all {GROUP_CRABS} {PRODUCTION} and produces equivalent to the amount eaten,Come metade de tudo que {GROUP_CRABS} produzir e produz equivalente ao que comeu,Mangia metà della {PRODUCTION} di tutti i {GROUP_CRABS} e produce un equivalente alla quantità mangiata,吃掉所有{GROUP_CRABS} {PRODUCTION}的一半，并产出等量的食物,모든 {GROUP_CRABS} {PRODUCTION}의 절반을 먹고 먹은 만큼 생산합니다,すべての{GROUP_CRABS}の{PRODUCTION}の半分を食べ、食べた量と同じ量を生産する,Come la mitad de toda la {PRODUCTION} de {GROUP_CRABS} y produce equivalente a la cantidad consumida,Friss die Hälfte aller {GROUP_CRABS} {PRODUCTION} und produziert das Äquivalent zum gefressenen Betrag,Mange la moitié de toute la {PRODUCTION} des {GROUP_CRABS} et produit l'équivalent de la quantité mangée,Zjada połowę {GROUP_CRABS} {PRODUCTION} i produkuje równą ilość zjedzonych,Tüm {GROUP_CRABS} {PRODUCTION}'ın yarısını yer ve yenilen miktar kadar üretir.
EMPEROR_CRAB_LEG,Emperor Crab Leg,Perna de Caranguejo Imperador,Gamba del granchio imperatore,皇帝蟹腿,제국 게 다리,エンペラーカニの足,Pata de Cangrejo Emperador,Kaiserkrabbenbein,Pattes d'Empereur Crabe,Noga Cesarza Kraba,İmparator Yengeç Bacağı
